leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
e1ed55ba-1f63-461f-8be8-c5df35b37e73,RANKED_SOLO_5x5,SILVER,II,FS_P0vC4c_-IenyZXa7H8aubiL9VCXM_c-NKzufjQ7qocuzv,20,29,39,false,false,false,false
113a6780-fcca-4cfb-a524-49b637ce5a43,RANKED_SOLO_5x5,SILVER,II,nNstJLvPb8CcLutlKH5FUfee3e1-j9Ce2K9dBoeVgWvYc4y6,22,9,6,false,false,false,false
21d0c815-ee3e-4e18-9b11-118730edfbde,RANKED_SOLO_5x5,SILVER,II,iEsli0VpQ1UAGWWuIAXnQ7GuPg4eC96EGfH_wcutgSYrEY54,71,20,19,false,false,false,false
8da6ed10-128b-4f29-b466-d873951d8a05,RANKED_SOLO_5x5,SILVER,II,xuABTgxGNy3uBaVqCD6tULDLqaongwKp5ElJBbhzjhLznRcO,28,12,6,false,false,true,false
